Reetta Hyvärinen,2
Atte Harjanne,2904
Sosialidemokraatit SDP,2409
Liike Nyt,2016
Vasemmistoliitto,1783
Petrus Pennanen,1609
Ozan Yanar,1264
Vihreät - De Gröna,1227
Kokoomus,1172
Timo Huhtamäki,1163
Viite - Tieteen ja teknologian vihreät,945
Jonne Juntura,855
Emma Kari,822
Mai Kivelä,810
Elisa Gebhard,730
Daniel Sazonov,684
Keskusta,683
Ben Zyskowiczin fanisivut,666
Mikko Kiesiläinen,662
Mari Holopainen,655
Jenni Pajunen,603
Helsingin Kokoomus,512
Daniel Rahman,494
Maria Ohisalo,478
Jaakko Mustakallio,463
Mikkel Näkkäläjärvi,449
Iiris Suomela,426
Helsingin Vihreät,424
Li Andersson,421
Tampereen Vasemmistonuoret,382
Suldaan Said Ahmed aka Musta Leijona,343
Liike,341
Uudenmaan Liberaalit,340
Atte Kaleva,326
Eeva Kärkkäinen,313
Henrik Vuornos,312
Veronika Honkasalo,311
Antti Vasemmalta - Antti Holopaisen poliitikkosivu,310
Feministinen puolue,304
Janne Heikkinen,300
Jenni Karjalainen,298
HeliP,288
Sari Sarkomaa,285
Lauri Kattelus,283
Kalevi Sorsa -säätiö,281
Perussuomalaiset,266
Heidi Hautala,265
Helsingin Vasemmisto,260
Antti Merilehto,257
Pilvi Torsti,251
Jouni Sirén,242
Wille Rydman,241
Pirkka-Pekka Petelius,235
Vihreät nuoret,235
Elinkeinoelämän keskusliitto EK,229
Anders Adlercreutz,223
Kaisa Hernberg,222
Sampo Terho,221
Noora Shingler eduskuntaan,208
Outi Alanko-Kahiluoto,206
Hanna Sarkkinen,204
Taru Reinikainen,202
Alviina Alametsä,200
Liberaalipuolue,196
Sameli Sivonen,191
Silvia Modig,187
Saara Ilvessalo,184
Vasemmistonaiset,171
Piraattipuolue,170
Saara Hyrkkö,169
Helene Auramo,166
Kai Mykkänen,164
Suvi Mäkeläinen,163
Tuomas Nevanlinna,161
Arto Satonen,153
Paavo Arhinmäki,150
Pirkanmaan Vasemmisto,149
Sofia Julin,146
"Jaana Wessman, Vas.",146
Sirpa Pursiainen eduskuntaan,135
Kimmo Oila,132
Petteri Orpo,131
Otso Kivekäs,131
Sami Säynevirta,131
Kaarle Hurtig,128
Mirita Saxberg - kansanedustajasi,128
Simon Granroth,127
Keskustanuoret,120
Mia Nygård,119
Anna Vuorjoki,116
Mira-Veera Auer,115
Johanna Niemi,115
Jari Kinnunen,112
Demarinuoret - Sosialidemokraattiset Nuoret ry,112
Petri Sarvamaa,110
Matias Pajula,102
Veera Hellman,101
Svenska folkpartiet i Finland - RKP,100
Kansanedustaja Mika Niikko,99
Minna Hölttä,99
Anna Korkman,95
Pohjanmaan Kokoomus,94
Aleksi Niskanen,90
Iikka Nikkinen,90
Aura Salla,89
Jukka Kekkonen - laatua lainvalmisteluun,89
Elina Lepomäki,88
Kimmo Tiilikainen,85
Antero Eerola,85
Lauri Kaira,83
Petri Rajala,82
Tom Packalén,82
Anna-Kaisa Ikonen,82
"Rauno ""Rane"" Kesseli",81
Ilmari Nurminen,81
Teija Makkonen,81
Kimmo Kuusiranta  Liike Nyt,80
Timo Harakka,80
Eduskuntavaaliehdokas Anu Järveläinen,78
Joukkovoima hallituspolitiikkaa vastaan,78
Pekka Rautio,77
"Birgitta Johansson, luottamushenkilö",77
"Jari Jääskeläinen, poliitikko",74
Pohjois-Pohjanmaan Kokoomus,74
Joona Räsänen,70
Lauri Linna,68
Mikaela Nylander,68
Janne Länsipuro 2019,68
Eeli Kytömäki,67
Etelä-Helsingin Vihreät,66
Diana Ponkkala,64
Satakunnan vihreät,64
Sami Pikkuaho - rakentavaa politiikkaa,63
Porvoon Vasemmisto,63
"Olli Kohonen, politiikkaa Pohjois-Pohjanmaalta",63
Tampereen Perussuomalaiset ry.,63
Bella Forsgrén,62
Olli-Poika Parviainen,62
Tarmo Ketola - vihreät,62
Johanna Loukaskorpi - Aidosti arjessa,62
Tommi Liinalampi,61
Jussi Saramo,61
Iris Westerlund,61
Tiina Haapala kansanedustajaehdokas,60
Riina Lumme,60
Silja Borgarsdóttir Sandelin,60
Petri Suuronen - Uusimaa 242,60
Poliitikko Tuomas Nieminen,59
Eva Biaudet,59
Lotta Keskinen,59
Maarit Kiiskinen Public,59
Erkki Tuomioja,59
Anni Sinnemäki,58
Iida-Eveliina Rantalainen,58
Kalle Kiili eduskuntaan,58
Pekka Haavisto,57
Tuomas Meriniemi,57
Joel Linnainmäki,57
Timo Korhonen,56
Svensk Ungdom - RKP-nuoret,55
Simo Grönroos,55
Ville Savonlahti,54
Kansanedustajaehdokas Nina Nummela,54
Heikki Vestman,54
Tanja Vahvelainen kansanedustajaehdokas,54
Teemu Leino. Poliitikko.,54
Wille Dahl - Piraattipuolue,53
Kallion seudun Vihreät,53
Thomas Wallgren,52
SFP i Nyland - RKP Uusimaa,51
Leo Bergman,51
Asko Nurminen,50
Pohjois-Pohjanmaan Vasemmisto,50
Pauliina Valkovirta -Päätöksentekoa vastuullisesti välittäen,49
Jouni Ovaska,49
Antti Rantakangas,49
"Heidi Seppälä,Eduskuntavaaliehdokas 2019. Kandidat inför riksdagsvalet 2019",49
Sakari Rokkanen,48
Liban Sheikh,48
Launo Haapamäki,48
Timo Heinonen - kansanedustaja,48
Petra Malin,47
Ville Niinistö,47
JP Väisänen,47
Maarit Koivisto eduskuntaan 2019,47
Helsingin Perussuomalaiset Nuoret,47
Pike Hilakari,46
Arto Luukkanen,46
Kimmo Kiljunen,45
Daniel Hannus,45
"Jussi Patinen, äänesi eduskuntaan",44
Demokraatti.fi,44
Pirkanmaan Kokoomus,43
Stina Wahlsten,43
Katariina Souri 2019,43
Keski-Suomen Vihreät,43
Ville Turkka,42
Jussi Ylitalo,42
Marjut Lehtonen,42
Kansan Uutiset,42
Kaisa Varonen eduskuntaan 2019 Uusimaa,42
Otto Meri,41
Satu Lampi,41
Vasemmisto-opiskelijat - Vasop,41
Keski-Suomen Vihreät Naiset ry,41
Saga Nyrén - Piraattipuolue,40
Jari Robson - Piraattipuolue,40
Mika Walkamo - Eduskuntavaalit 2019,40
Tarja Edry,39
KD Pirkanmaan piiri,39
Mari Kousa-Kuusisto,39
Ajak Majok,39
John Eriksson - Kandidat/Ehdokas,38
Kokoomusnuoret,38
SFP i Helsingfors,38
Kristillisdemokraatit,37
Jukka Hämäläinen kansanedustajaksi,37
Heta Tuura,37
Niina Ratilainen,37
Espoon Perussuomalaiset ry,37
Olli Kopakkala,36
Ville-Veikko Rantamaula,36
Eero Lehti,36
Antti Lindtman,35
Juha Rehula (poliitikko),35
Tuire Kaimio,35
Taru Tolvanen - eduskuntavaaliehdokas SDP,34
Jelena Kiilholma,34
Kimmo Moilanen - Seitsemän tähden liike,34
Jyrki J.J. Kasvi,34
"Pertti Villo, poliitikko",34
Henrik Wickström,34
Oras Tynkkynen,34
Minna Karvonen,34
Espoon Vasemmisto,34
Riitta Kuismanen,33
Jenni Pitko,33
Riikka Taivassalo,33
Heikki Hankila eduskuntaan,33
Saara-Sofia Sirén,33
Touko Aalto,32
Petra Schulze Steinen,32
Sami Ryynänen,32
Jarno Alastalo,32
Tekniset Demarit ry,32
Mia Heijnsbroek-Wiren Politik,31
Mika Flöjt poliitikko,31
Kokoomusnaiset,30
"Nina ""Peppi"" Pelkonen",30
Eduskuntavaaliehdokas Pasi Huuhtanen,29
Hanna Laine,29
Jari Turpeinen,29
Mika Maaskola,28
Paavo Väyrynen,27
Tiina Ahva,27
Eduskuntavaaliehdokas Ulla Kaukola,27
Vasemmistonuoret,27
Tuomas Kurttila eduskuntaan 2019,26
Ari-Martti - Piraattipuolue,26
Sini Ruohonen - Eduskuntavaalit 2019,26
Veli Liikanen,26
Kokoomusopiskelijat,26
Tuomo Liljenbäck,26
Anna Jensen,25
Mika Pietilä - eduskuntavaaliehdokas,25
Kirkkonummen Vihreät - De Gröna i Kyrkslätt,25
Matti Föhr Eduskuntaan 2019,25
Juho Ojares - Eteenpäin,25
Calle Wikman,25
Marko Meriläinen - Oikeus elää luonnosta,25
Mervi Syväranta,25
Salla Airaksinen eduskuntaan,25
Toni Ahva,24
Tanja von Knorring till Riksdagen Eduskuntaan,24
Risto Kalliorinne,24
Timo Elo,24
Espoon Vihreät,24
Elina Rantanen,24
Tommi Aalto,24
Auri Siika-aho,24
Ilona Helle Vihreä poliitikko,23
Jens Berg,23
